Car_ID,Owner_Name,Contact,City,Purchase_Year
 c1000 ,OwNeR_0,+91 9548825254  , lUcKNoW,1970-01-01 
C1001 ,owNEr_1,+91 9296593224  , jAIpUr , 1970-01-01
 c1002,OWnER_2 ,  +91 9500832078 , mumBaI , 01-01-1970 
 c1003 , owNER_3 , +91 9910472333,aHMEDABaD, 1970-01-01 
  c1004  ,OwNer_4,+91 9744621471, Mumbai,01/01/1970
 C1005 , owner_5  , +91 9703752914,DElHI, 01-01-1970 
C1006 , OWNEr_6,+91 9750562534, jAIpUr ,01 jan 1970
 c1007 ,  OwNeR_7 ,+91 9185856961, luCKNOW ,"Jan 01, 1970"
  c1008,owner_8 , +91 9260320013,JaiPUr,1970-01-01
 C1009 ,  oWNeR_9,+91 9539389253 ,muMBaI,01 jaN 1970
 C1010,  OwnER_10,+91 9715816140  , HYdeRabAD , 1970-01-01
 c1011, owNER_11,+91 9789467753,koLKata  ,01/01/1970
C1012,  owNEr_12,+91 9473501690  ,  cHENnaI,"JAN 01, 1970"
c1013 ,oWnER_13,+91 9759681703 ,JAIpUr ,01 JAN 1970
 C1014, oWner_14  ,+91 9370395268 ,lUckNow,"jAn 01, 1970"
c1015 ,oWnEr_15  ,+91 9652379883,mumBai,"jAn 01, 1970"
C1016 , OwNeR_16 , +91 9647316900  , LuCKNoW ,1970-01-01
 C1017, OWNeR_17,+91 9630185206 ,kolkATa, 01-01-1970
 C1018,oWnER_18,+91 9781237202 ,DelhI , 01-01-1970
 C1019, OWnER_19 ,  +91 9638571908,MUMBaI  ,1970-01-01 
C1020,oWNEr_20,+91 9555203126, mUMbaI ,"jAN 01, 1970"
  C1021,owner_21  , +91 9717761950 ,  aHmedABad,01/01/1970
c1022 ,  oWner_22 , +91 9989237859 ,  LUCknow,01-01-1970 
 C1023 ,oWNEr_23 ,+91 9471726849,CHENnai ,01-01-1970
C1024 , oWNer_24 , +91 9427701281, Pune  ,01/01/1970
 C1025 ,oWNEr_25,+91 9694301770 , chEnnAi,1970/01/01 
 C1026, oWNER_26,+91 9125833950, BANGaLorE ,01/01/1970
